 curl -X POST http://127.0.0.1:8008/chat \
    -H "Content-Type: application/json" \
    -H "memberId: test_user" \
    -H "platId: 0" \
    -d '{"sid":"test123","q":"北京三日游"}'
data: {"type": "answer", "text": "3. "}

data: {"type": "answer", "text": " 全程步行较多，建议穿"}

data: {"type": "answer", "text": "舒适防滑运动"}

data: {"type": "answer", "text": "鞋，避免高跟鞋或"}

data: {"type": "answer", "text": "新鞋。\n\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n# 🎒 装备清单"}

data: {"type": "answer", "text": "\n1.  必带"}

data: {"type": "answer", "text": "：身份证、手机"}

data: {"type": "answer", "text": "、充电宝、"}

data: {"type": "answer", "text": "保温杯（景区"}

data: {"type": "answer", "text": "饮水点少）、纸"}

data: {"type": "answer", "text": "巾、湿巾。\n2."}

data: {"type": "answer", "text": "  建"}

data: {"type": "answer", "text": "议：便携小"}

data: {"type": "answer", "text": "风扇、防晒衣"}

data: {"type": "answer", "text": "、折叠伞（"}

data: {"type": "answer", "text": "防日晒）、"}

data: {"type": "answer", "text": "相机（故宫、颐和园"}

data: {"type": "answer", "text": "拍照绝佳）。\n3."}

data: {"type": "answer", "text": "  饮食"}

data: {"type": "answer", "text": "：可自备少量"}

data: {"type": "answer", "text": "零食，景区内餐饮"}

data: {"type": "answer", "text": "价格较高。\n\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n# 📞 售后"}

data: {"type": "answer", "text": "服务"}

data: {"type": "answer", "text": "\n行程中如遇任何问题"}

data: {"type": "answer", "text": "，如交通延误、酒店"}

data: {"type": "answer", "text": "入住困难、景点预约"}

data: {"type": "answer", "text": "异常等，可随时"}

data: {"type": "answer", "text": "拨打同程旅行2"}

data: {"type": "answer", "text": "4小时服务热线：95"}

data: {"type": "answer", "text": "711，"}

data: {"type": "answer", "text": "专业客服随时为您"}

data: {"type": "answer", "text": "响应。\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n"}

data: {"type": "thinking", "text": "### 规划旅行线路\n#### 基于实时数据与用户线路进行深度分析和规划\n"}

data: {"type": "thinking", "text": "### 分析用户需求\n#### 规划北京三日游，包括酒店选择、景点安排、交通时间等\n"}

data: {"type": "thinking", "text": "### 规划行程\n#### 安排北京三日游，包含景点游览、餐饮体验和交通安排\n"}

data: {"type": "finsh", "text": "max_depth_reached", "ans_msg_id": ""}

data: {"type": "sight", "text": "0"}

data: {"type": "finsh", "text": "", "ans_msg_id": "", "need_recommend": true, "need_itinerary": false, "itinerary_info": {}, "has_public_transport": false, "has_spring_activate": true, "has_travel_plan": true, "has_option": false, "has_hotel_intent": false, "has_sight": false, "has_hotel": false, "has_traffic": false, "is_trip": false}

